# Rådata, tur 06c13078-f714-463b-bf52-722649dfb574 (Tom, bil, >17 min-turen, 2026-09-11 14:58–15:20 UTC)
# Exporterad ur gps_points 2026-09-11. 1305 fixar, alla med rådata, ingen lucka > 7 s. T0 = 2026-09-11 14:58:19.643+00
# Kolumner: ms_sedan_start,raw_lat*1e6,raw_lng*1e6,enhetsfart_kn*100,kurs_grader,accuracy_m ; radskiljare ';'
# Sparat i databasen: distance 17.45 NM (∫Doppler), distanceSmoothedNM 17.77, distanceRawNM 17.61, average 49.0, max 82.5, duration_seconds 1306.
# Facit mot bil: bilens Trip 2 nollställdes före start och fotades STILLASTÅENDE (0 mph) efter spara: 20.5 mi = 17.81 NM (avrundning 20.45–20.55 mi → 17.77–17.86 NM).
# Bilens vägmätare har egen okänd kalibrering (typiskt ±1–2 %). Första ~12 s och sista ~25 s stilla (0 kn).
123076,36959266,-86012675,3290,359,10;124077,36959422,-86012680,3290,358,10;125076,36959576,-86012688,3230,357,10;
126077,36959733,-86012704,3290,355,10;127077,36959898,-86012727,3450,351,10;128078,36960068,-86012764,3610,350,10;
129078,36960245,-86012806,3770,348,10;130079,36960429,-86012853,3940,348,10;131079,36960620,-86012901,4100,349,10;
132078,36960813,-86012949,4150,349,10;133080,36961008,-86012996,4210,349,10;134081,36961205,-86013043,4260,349,10;
135082,36961402,-86013090,4260,349,10;136082,36961599,-86013137,4260,349,10;137081,36961796,-86013185,4260,349,10;
138081,36961993,-86013237,4260,348,10;139082,36962188,-86013290,4260,348,10;140083,36962382,-86013342,4210,348,10;
141083,36962576,-86013394,4260,348,10;142084,36962773,-86013442,4260,349,10;143085,36962968,-86013487,4260,350,10;
144085,36963161,-86013531,4210,350,10;145086,36963348,-86013595,4150,350,10;146088,36963539,-86013616,4040,350,10;
147088,36963723,-86013657,3990,350,10;148090,36963903,-86013695,3830,351,10;149091,36964075,-86013730,3830,351,10;
150091,36964248,-86013766,3830,350,10;151091,36964414,-86013805,3560,348,10;152092,36964573,-86013853,3450,345,10;
153091,36964725,-86013911,3340,340,10;154092,36964871,-86013991,3340,334,10;155093,36965014,-86014100,3450,323,10;
156094,36965142,-86014238,3500,315,10;157095,36965254,-86014403,3610,309,10;158098,36965359,-86014596,3830,301,10;
159098,36965459,-86014808,4150,300,10;160099,36965561,-86015029,4370,300,10;161099,36965665,-86015258,4480,300,10;
162101,36965770,-86015490,4580,300,10;163103,36965877,-86015725,4640,300,10;164103,36965985,-86015963,4690,299,10;
165104,36966093,-86016203,4690,299,10;166105,36966204,-86016445,4750,300,10;167104,36966320,-86016685,4800,301,10;
168104,36966439,-86016927,4850,301,10;169106,36966557,-86017167,4850,301,10;170106,36966671,-86017405,4750,301,10;
171107,36966783,-86017637,4640,301,10;172107,36966890,-86017864,4530,300,10;173108,36966978,-86018097,4420,300,10;
174109,36967093,-86018305,4310,300,10;175109,36967193,-86018519,4260,300,10;176110,36967292,-86018727,4150,301,10;
177110,36967391,-86018931,4100,301,10;178110,36967489,-86019134,4040,300,10;179111,36967569,-86019345,3990,300,10;
180112,36967663,-86019543,3940,302,10;181112,36967774,-86019729,3940,302,10;182114,36967860,-86019938,4040,303,10;
183118,36967968,-86020135,4100,304,10;184116,36968082,-86020329,4150,308,10;185117,36968198,-86020519,4100,308,10;
186120,36968311,-86020700,3990,310,10;187121,36968438,-86020851,3770,312,10;188120,36968540,-86021004,3500,317,10;
189118,36968660,-86021107,3180,327,10;190122,36968781,-86021172,2860,339,10;191122,36968903,-86021204,2640,351,10;
192123,36969027,-86021203,2640,4,10;193124,36969139,-86021166,2480,18,10;194123,36969246,-86021108,2480,24,10;
195125,36969358,-86021042,2590,25,10;196124,36969474,-86020970,2750,25,10;197125,36969588,-86020902,2690,25,10;
198127,36969704,-86020841,2640,23,10;199127,36969827,-86020778,2800,23,10;200127,36969952,-86020718,2860,22,10;
201128,36970067,-86020638,2800,22,10;202128,36970188,-86020576,2750,21,10;203130,36970311,-86020517,2750,21,10;
204131,36970441,-86020477,2800,20,10;205131,36970568,-86020418,2860,19,10;206132,36970700,-86020364,2910,19,10;
207131,36970835,-86020301,3020,14,10;208134,36970984,-86020263,3180,9,10;209135,36971138,-86020244,3230,4,10;
210136,36971298,-86020249,3340,357,10;211134,36971458,-86020262,3400,356,10;212135,36971620,-86020282,3450,353,10;
213140,36971784,-86020320,3450,346,10;214139,36971942,-86020384,3450,339,10;215140,36972089,-86020476,3400,331,10;
216140,36972222,-86020594,3400,323,10;217140,36972341,-86020723,3340,319,10;218140,36972456,-86020849,3290,319,10;
219142,36972563,-86020963,3130,323,10;220142,36972666,-86021052,2800,330,10;221142,36972763,-86021115,2420,336,10;
222142,36972855,-86021156,2150,344,10;223143,36972948,-86021198,2100,349,10;224143,36973062,-86021178,2370,349,10;
225144,36973174,-86021097,2690,30,10;226144,36973299,-86021007,3020,30,10;227146,36973434,-86020908,3290,30,10;
228147,36973577,-86020803,3500,31,10;229147,36973726,-86020693,3660,31,10;230149,36973879,-86020581,3770,30,10;
231147,36974036,-86020473,3770,28,10;232149,36974195,-86020371,3770,27,10;233151,36974352,-86020264,3830,30,10;
234152,36974508,-86020154,3770,29,10;235152,36974653,-86020052,3610,30,10;236153,36974782,-86019959,3230,29,10;
237154,36974898,-86019887,2750,22,10;238154,36975007,-86019850,2320,11,10;239158,36975116,-86019869,1990,346,10;
240160,36975205,-86019922,1940,331,10;241157,36975281,-86020013,1990,310,10;242160,36975344,-86020116,2100,307,10;
243159,36975409,-86020225,2260,306,10;244159,36975478,-86020344,2480,306,10;245162,36975543,-86020481,2690,315,10;
246162,36975641,-86020584,2750,326,10;247162,36975756,-86020641,2640,335,10;248162,36975872,-86020688,2640,346,10;
