similarity,distance_m,a_id,a_name,a_slug,a_island,a_type,a_categories,a_google_id,a_rating,b_id,b_name,b_slug,b_island,b_type,b_categories,b_google_id,b_rating,recommended_action
0.26,110,05432e07-de19-4524-ba17-a73e00a4c2c5,"Restaurang Hertigen, Grebbestad",restaurang-hertigen-grebbestad,Grebbestad,restaurant,hamnkrog,ChIJm5yA2xdKREYRtEicJknOCNA,4,fc5104d3-9228-42d2-9266-b88430ce4c15,Restaurang Telegrafen,restaurang-telegrafen,Grebbestad,restaurant,hamnkrog,ChIJA03Dez1KREYRv1QfZAUF2Yw,4.7,manuell granskning
0.25,24,c62a23a8-8747-41f2-a4e8-473e20e3f793,Arholma Handel Stugor,arholma-arholma-handel-stugor,Arholma,hotel,accommodation|cabin,ChIJ84Llbi9S9UYRao0H5E0BOtk,4.4,75aa2b04-5bb0-480b-bdc5-86146ff57d76,Arholma sjömack,arholma-sjomack,Arholma,fuel,fuel|service_point,ChIJp9n2ay9S9UYROIJrDkkZA1A,4.2,manuell granskning
0.25,96,b29250ec-126d-43b6-b4c9-72de8e0523f1,Dalarö Bageri & Café,dalaro-bageri-cafe,Dalarö,cafe,cafe|bakery,ChIJ1xOcYWCG9UYR89jc-A80c6Q,4.4,14ad0ad2-5ffd-46bc-99dd-aab75a3a7d62,Dalarö Krog,dalaro-krog,Dalarö,restaurant,restaurant|harbor_stop|lunch_stop,ChIJf90OImCG9UYRhEp2MvpXYvs,4.6,manuell granskning
0.25,22,818e86d1-15e5-4018-bc4c-23bdeaac3332,Namndö Gasthamn,namndö-gasthamn,Namndö,marina,marina|harbor_stop|bilfri,ChIJLQuRleGc9UYRp7zNaWAu960,4.2,f2d53998-bfe8-46f7-8047-7a7c53060157,Namndö Restaurang,namndö-restaurang,Namndö,restaurant,restaurang,,,"behåll A (818e86d1…), radera B"
0.25,81,c33560c8-e1d9-4ae7-8450-4a58bcd3348f,Sandhamns Bageriet,sandhamns-bageriet,Sandhamn,cafe,cafe|bakery|coffee,ChIJ68OHHwV09UYRd9rhpezNJGE,4.2,2d93b270-8334-4a7d-922d-df030830bdd1,Sandhamns Glassigaste Ställe,sandhamns-glassigaste-stalle,Sandhamn,cafe,cafe|family_stop,ChIJbyNuqhR19UYRGczqP2GFdo0,3.4,manuell granskning
0.25,68,2d93b270-8334-4a7d-922d-df030830bdd1,Sandhamns Glassigaste Ställe,sandhamns-glassigaste-stalle,Sandhamn,cafe,cafe|family_stop,ChIJbyNuqhR19UYRGczqP2GFdo0,3.4,ba10124b-d115-4390-932f-5a644af4ac28,Sandhamns Vardshus,sandhamns-vardshus,Sandhamn,restaurant,restaurant|breakfast|harbor_stop,,,"behåll A (2d93b270…), radera B"
0.24,17,e61ac984-b972-43d2-8ac2-dc290807e068,Gällnö Bar,gallno-bar,Gällnö,bar,bar|harbor_stop|hidden_gem,ChIJ1R1Vx4J89UYR7oPNdAoQRVU,4.5,6d5bc24d-8b71-4387-9d3f-9fc5ac4e3578,Gällnö Handelsbod café,gallno-handelsbod-cafe,Gällnö,cafe,cafe|provisions|coffee|hidden_gem,,,"behåll A (e61ac984…), radera B"
0.24,180,2d93b270-8334-4a7d-922d-df030830bdd1,Sandhamns Glassigaste Ställe,sandhamns-glassigaste-stalle,Sandhamn,cafe,cafe|family_stop,ChIJbyNuqhR19UYRGczqP2GFdo0,3.4,2b3fc0ce-0ebc-48d9-b302-0e78d29c0996,Sandhamns sjöstation,sandhamns-sjöstation,Sandhamn,fuel,fuel|service_point,ChIJES1TZbN19UYRyDjsZT2oOWU,4.3,manuell granskning
0.23,11,6d5bc24d-8b71-4387-9d3f-9fc5ac4e3578,Gällnö Handelsbod café,gallno-handelsbod-cafe,Gällnö,cafe,cafe|provisions|coffee|hidden_gem,,,5751992a-f546-4daa-b5ae-de98de8893d2,Gällnö Krog,gallno-krog,Gällnö,restaurant,,,,manuell granskning
0.23,117,1933dbae-ea7b-4062-901d-97722239c077,Ellös badplats,ellos-badplats,,beach,,ChIJHRmCX26fRUYRAeOsJYozO5g,4.4,fa2b973d-6975-4728-a39e-27ec25790b73,Ellös havscafe,ellos-havscafe,Ellös,restaurant,hamnkrog,ChIJ5QUtDbOfRUYRc4akD20cta0,4,manuell granskning
0.23,102,95da4ee5-1912-4c4d-8237-ff93a6b3a49e,Fotö Bastu,foto-bastu,,sauna,,ChIJ102-X3uPT0YRZ4o0L22JbBU,4.7,655eb581-f86f-41c7-9103-c5f7795f67e0,Fotö Gästhamn,foto-gasthamn,Fotö,harbor,gasthamn,ChIJm8TdaO-PT0YRMQlCLiRaXRk,4.4,manuell granskning
0.23,44,0cf36faf-2d1f-4146-bd81-d51f466d88ce,Möja Bageri,moja-bageri,Möja,cafe,cafe|bakery|provisions,ChIJqae_gNpv9UYRaWK4Y6He2Bk,4.2,87b9a788-cf09-4c3f-96e1-9cf5d9e15247,Möja Hamnbar,moja-hamnbar,Möja,bar,bar|harbor_stop|sunset_stop,ChIJpWMdFc9v9UYRBgIPaFje19s,3.9,manuell granskning
0.23,106,c4b00235-3356-4122-b03a-0586c0754e93,Orno Krog,orno-krog,Orno,restaurant,restaurang,ChIJg9GyWBaP9UYRKO1r9dtTHwA,4,1b1d0cbf-ef8e-454c-a742-0b8d1a35aac0,Orno Naturhamn,orno-naturhamn,Orno,anchorage,anchorage|nature,ChIJ8wAU0tKO9UYRIWf3EB9Y738,4.5,manuell granskning
0.23,0,cfdb32f3-2b2f-4b49-912f-ab8474f66588,Stavsnäs Båtvarv & Sjömack,stavsnäs-batvart-sjomack,Stavsnäs,fuel,fuel|service_point,ChIJt3U1CDR_9UYRtuNUyi0hLgE,4.3,15d56129-4c06-4cf4-89a1-80ce5adfd79b,Stavsnäs Restaurang & Bar,stavsnas-restaurang-bar,Värmdö,restaurant,,ChIJHzPwVJd59UYRELZnkCdOE6I,3.9,manuell granskning
0.22,157,b29250ec-126d-43b6-b4c9-72de8e0523f1,Dalarö Bageri & Café,dalaro-bageri-cafe,Dalarö,cafe,cafe|bakery,ChIJ1xOcYWCG9UYR89jc-A80c6Q,4.4,7fb6ce90-2100-437e-b714-b8f3a81db226,Dalarö Värdshus,dalaro-vardshus,Dalarö,restaurant,restaurant|dinner_stop,ChIJM27uYGCG9UYROQER_h5hrhQ,4.1,manuell granskning
0.21,70,7ef32046-0f68-4d3f-ae94-9cde0ec13c17,Donsö Fiskrökeri,donso-fiskrokeri,Donsö,restaurant,fish|take_away|local,ChIJm5UrNRCTT0YRiE0zZM2NUhw,4.9,05ff402d-a600-4eee-81cd-4e836975c3c5,Donsö gästhamn,donso-gasthamn,Donsö,harbor,gasthamn,,,"behåll A (7ef32046…), radera B"
0.21,70,7ef32046-0f68-4d3f-ae94-9cde0ec13c17,Donsö Fiskrökeri,donso-fiskrokeri,Donsö,restaurant,fish|take_away|local,ChIJm5UrNRCTT0YRiE0zZM2NUhw,4.9,e3d5f697-21dd-44a5-9c20-f4371d047753,Donsö Hamnkrog,donso-hamnkrog,Donsö,restaurant,hamnkrog,ChIJ_Q_7G1SST0YRNhQeaqJatFA,4.4,manuell granskning
0.21,0,5f973a6b-11b1-4a00-adb1-71bfa45af3d2,Hönö Bastuförening,hono-bastuforening,Hönö,sauna,bastu,,,4fc66554-8eac-42eb-9064-04c595b75dc4,Hönö Sjökrog,hono-sjokrog,Hönö,restaurant,hamnkrog,,,manuell granskning
0.19,111,f4ec2b36-f946-4c54-9f22-78568a20a3e6,Grinda Lanthandel & Café,grinda-lanthandel-cafe,Grinda,cafe,cafe|provisions|coffee|family_stop,ChIJGaC4ihp99UYRrEAlSRIfY0w,4.1,33669ea0-fd87-4b7f-9606-f9f411ca14bf,Grinda Wärdshus,grinda-wardshus,Grinda,restaurant,restaurant|lunch_stop|traditionsrik|accommodation|hotel,ChIJDz6D7h2EX0YRV8TSQ4aO5Lk,4,manuell granskning
0.19,0,a2c8db78-6f99-4d6f-8348-8d98c842f0be,Stavsnäs Hembageri Sommarhamn,stavsnäs-hembageri,Stavsnäs,cafe,cafe|bakery|coffee,ChIJ8XV9RbZ59UYRoLjE3gApRJs,4.4,15d56129-4c06-4cf4-89a1-80ce5adfd79b,Stavsnäs Restaurang & Bar,stavsnas-restaurang-bar,Värmdö,restaurant,,ChIJHzPwVJd59UYRELZnkCdOE6I,3.9,manuell granskning
0.18,49,cdab55c1-5bee-4b9f-93bc-fa56df9ad127,Nämdö Handelsbod & Café,namdö-handelsbod-cafe,Nämdö,cafe,cafe|provisions|harbor_stop,ChIJNTmiV5qd9UYR1zPTwJjkTXg,4.3,524bb7dc-2dc6-4f4b-8470-17b0c6aee939,Nämdö Macken,namdo-macken,Nämdö,fuel,fuel|service_point,ChIJL-Lhw-Gc9UYR-cIeDDBtdBA,3.5,manuell granskning
0.18,0,cfdb32f3-2b2f-4b49-912f-ab8474f66588,Stavsnäs Båtvarv & Sjömack,stavsnäs-batvart-sjomack,Stavsnäs,fuel,fuel|service_point,ChIJt3U1CDR_9UYRtuNUyi0hLgE,4.3,a2c8db78-6f99-4d6f-8348-8d98c842f0be,Stavsnäs Hembageri Sommarhamn,stavsnäs-hembageri,Stavsnäs,cafe,cafe|bakery|coffee,ChIJ8XV9RbZ59UYRoLjE3gApRJs,4.4,manuell granskning
0.17,0,b3dea1ba-3cef-412e-88fa-37d3366a5e12,Blidö Brygga & Bistro,blido-brygga-bistro,Blidö,restaurant,restaurant|harbor_stop|lunch_stop,ChIJX-Fuf6Fd9UYRsVHKZ8C53SI,3.7,7a08390a-bfea-4491-b91b-62333c128f2f,Blidö Sommarcafé,blido-sommarcafe,Blidö,cafe,cafe,ChIJ9ZFoAwBd9UYRjew4PsV8KuU,4.8,manuell granskning
0.17,0,74f43f28-bec0-46af-9597-84b6abf1dfdb,Hönö Klåva gästhamn,hono-klava-gasthamn,Hönö,harbor,gasthamn,,,4fc66554-8eac-42eb-9064-04c595b75dc4,Hönö Sjökrog,hono-sjokrog,Hönö,restaurant,hamnkrog,,,manuell granskning
0.16,36,faaaf5d0-613f-4afa-8703-044f026be71e,Hönö Klåva drivmedel,hono-klava-drivmedel,Hönö,fuel,bensin,ChIJcc9f_JGPT0YRv4lTZc6-6xA,4.6,9bd9d14e-8437-4a74-99ab-224c86015446,Hönö Pizzeria,hono-pizzeria,Hönö,restaurant,hamnkrog,ChIJ87qI-pGPT0YRS6SzyKWo37o,4.3,manuell granskning
0.16,107,be2fc51d-5f48-431c-bbda-c661142552f3,Ornö Brödbod o Deli,orno-brodbod-deli,Ornö,cafe,cafe|bakery|provisions|hidden_gem,ChIJScflbROP9UYRVzCmjcSp9OA,4.9,1a3ffa9d-af9c-4134-96e5-8cf0add87d52,Ornö Hamnkiosk,orno-hamnkiosk,Ornö,cafe,cafe|kiosk,ChIJc7pcNgqP9UYRGWkkkgSgGqw,5,manuell granskning
0.15,193,ab93a1f7-bcb4-45f5-bc86-31303ea307ea,Café Ankaret,cafe-ankaret,Sandhamn,cafe,cafe|coffee|family_stop,ChIJFVA1rQV09UYRCDt5S3mpDNU,4.6,e345ef59-8b0f-49d4-93b5-27862e81033d,Café Strindbergsgården,cafe-strindbergsgarden,Sandhamn,cafe,cafe|coffee|hidden_gem,ChIJ0wJoUwR09UYR5LcGchumH5Y,3.4,manuell granskning
0.14,0,5f973a6b-11b1-4a00-adb1-71bfa45af3d2,Hönö Bastuförening,hono-bastuforening,Hönö,sauna,bastu,,,74f43f28-bec0-46af-9597-84b6abf1dfdb,Hönö Klåva gästhamn,hono-klava-gasthamn,Hönö,harbor,gasthamn,,,manuell granskning
0.13,81,05bec40e-3d67-4714-bdcc-64aeb46dbb07,Utö Bakficka,uto-bakficka,Utö,restaurant,,,,a0ee67e8-fa8a-4663-ba90-c69712b13a7f,Utö Gästhamn sjömack,uto-gasthamn-sjomack,Utö,fuel,fuel|service_point,ChIJ-3oT2XeM9UYRSLBfN9DzLPU,4.3,"behåll B (a0ee67e8…), radera A"
